order_id,order_date,customer_id,customer_name,gender,age,signup_date,last_order_date,city,product_id,product_name,brand,category,price,quantity,payment_mode,order_status,return_date,return_reason
1,2025-04-17,CUST3773,Ravi Singh,Male,37.0,2024-06-21,2025-04-13,Chennai,PROD0122,Apple Product 4,Nike,Electronics,12121.59,8.0,UPI,Pending,2026-01-08,Size Issue
2,2025-04-10,CUST2920,Deepa Singh,Female,31.0,2024-10-09,2025-05-30,Hyderabad,PROD0309,Apple Product 94,Samsung,Home,72758.28,6.0,UPI,Delivered,2026-01-21,Wrong Item
3,2025-11-10,CUST4118,Sneha Sharma,Female,27.0,2025-02-08,2025-08-24,Bangalore,PROD0857,Samsung Product 78,Mi,Clothing,22196.57,3.0,COD,Pending,2025-12-30,Size Issue
4,2025-02-24,CUST1268,Deepa Nair,Male,27.0,2025-10-18,2025-05-11,Bangalore,PROD0485,HP Product 83,Levis,Books,45762.09,5.0,COD,Cancelled,2025-11-25,Quality Issue
5,2025-12-06,CUST1479,Ravi Sharma,Male,26.0,2025-08-02,2025-09-21,Pune,PROD0943,Adidas Product 68,Mi,Electronics,13415.67,1.0,UPI,Pending,2026-02-24,Quality Issue
6,2025-02-19,CUST3944,Vikram Menon,Male,29.0,2025-06-23,2025-01-02,Madurai,PROD0390,Sony Product 98,Mi,Books,15991.65,4.0,UPI,Cancelled,2025-11-06,Defective
7,2025-09-27,CUST4912,Priya Menon,Male,18.0,2025-02-26,2025-08-03,Kochi,PROD0252,HP Product 28,Nike,Home,3869.43,8.0,COD,Cancelled,2025-08-01,
8,2025-07-27,CUST0338,Meera Gupta,Male,22.0,2024-07-23,2025-10-07,Chennai,PROD0922,Levis Product 86,Mi,Books,72411.52,9.0,UPI,Delivered,2025-06-06,Quality Issue
9,2025-06-12,CUST4515,Ravi Sharma,Female,38.0,2025-03-16,2026-01-14,Kochi,PROD0773,HP Product 24,Nike,Electronics,69509.42,9.0,Card,Delivered,2025-01-28,Size Issue
10,2025-05-15,CUST0201,Anjali Rao,Female,41.0,2024-07-03,2025-02-17,,PROD0503,Adidas Product 37,Mi,Home,23668.18,8.0,COD,Delivered,2025-10-20,
11,2025-02-04,CUST2691,Rahul Patel,Male,40.0,2024-06-05,2025-08-06,Bangalore,PROD0503,OnePlus Product 32,Apple,Home,57937.05,7.0,UPI,Pending,2025-10-10,Wrong Item
12,2026-01-28,CUST0207,Priya Kumar,Male,46.0,2024-06-15,2025-12-12,Hyderabad,PROD0554,Nike Product 48,Adidas,Footwear,33230.57,3.0,Card,Pending,2025-03-04,Size Issue
13,2025-04-06,CUST1758,Priya Menon,Female,31.0,2025-09-28,2026-02-11,Delhi,PROD0231,Levis Product 7,HP,Electronics,31073.53,4.0,UPI,Returned,2025-01-13,Defective
14,2025-06-09,CUST1723,Amit Menon,Female,42.0,2025-01-29,2025-03-27,Delhi,PROD0796,Apple Product 46,Nike,Footwear,69762.48,9.0,COD,Cancelled,2025-05-14,Size Issue
15,2025-12-06,CUST1982,Ravi Patel,Female,18.0,2025-04-27,2025-05-08,Bangalore,PROD0506,Samsung Product 49,Adidas,Home,9595.55,9.0,Card,Cancelled,2025-08-19,Defective
16,2025-07-09,CUST1307,Vikram Reddy,Female,30.0,2025-02-14,2025-12-25,Puducherry,PROD0710,Levis Product 23,Levis,Books,38550.67,9.0,COD,Delivered,2025-11-14,Wrong Item
17,2025-06-21,CUST0664,Karthik Kumar,Male,28.0,2025-06-09,2025-06-09,Hyderabad,PROD0608,Samsung Product 93,Mi,Home,42078.6,4.0,Card,Returned,2025-04-23,
18,2025-11-14,CUST4660,Karthik Menon,Female,29.0,2025-02-23,2025-10-22,Hyderabad,PROD0386,Adidas Product 87,Adidas,Clothing,53564.16,5.0,COD,Cancelled,2025-04-23,Size Issue
19,2025-12-09,CUST3475,Ravi Gupta,Male,31.0,2024-10-08,2025-02-22,Pune,PROD0684,Nike Product 19,Apple,Electronics,33859.85,6.0,COD,Delivered,2026-02-20,Defective
20,2025-09-04,CUST4932,Anjali Menon,Female,35.0,2025-08-13,2025-07-22,Kochi,PROD0184,Mi Product 58,Adidas,Clothing,18204.0,6.0,UPI,Pending,2025-10-07,Size Issue
21,2026-01-30,CUST3583,Deepa Menon,Male,36.0,2024-10-22,2025-04-07,Chennai,PROD0201,Sony Product 70,Apple,Home,24398.11,6.0,Card,Returned,2025-12-15,Wrong Item
